=====
Training
=====
filename,numeral,label
6_28177.png,6,"13_12"
1_37955.png,1,"21_31"
2_57583.png,2,"21_28"
2_43257.png,2,"24_31"
1_39905.png,1,"0_20"
6_42490.png,6,"28_30"
9_48802.png,9,"11_12"
0_28667.png,0,"13_9"
1_42189.png,1,"0_20"
3_27084.png,3,"13_31"
5_52686.png,5,"31_30"
4_29854.png,4,"31_6"
3_6048.png,3,"10_31"
8_54665.png,8,"10_14"
0_46446.png,0,"11_8"
2_37967.png,2,"6_27"
3_48038.png,3,"14_29"
9_11647.png,9,"20_31"
8_23948.png,8,"24_25"
6_35579.png,6,"24_31"
4_45982.png,4,"31_6"
4_21107.png,4,"31_26"
0_37287.png,0,"15_9"
7_11207.png,7,"10_21"
4_53633.png,4,"31_23"
2_38216.png,2,"6_27"
1_46575.png,1,"7_0"
6_38980.png,6,"0_20"
8_9686.png,8,"23_19"
2_180.png,2,"1_0"
8_56891.png,8,"10_14"
0_47000.png,0,"11_4"
9_3095.png,9,"15_21"
1_4149.png,1,"0_16"
9_37887.png,9,"11_21"
7_58974.png,7,"8_20"
9_10808.png,9,"28_6"
6_54420.png,6,"6_0"
5_27259.png,5,"11_31"
1_36045.png,1,"0_13"
9_50767.png,9,"19_31"
4_37645.png,4,"0_7"
8_47183.png,8,"1_14"
5_25936.png,5,"22_16"
1_18226.png,1,"1_2"
5_19759.png,5,"22_16"
1_55279.png,1,"20_0"
3_50337.png,3,"11_30"
9_18668.png,9,"28_6"
5_39085.png,5,"9_31"
0_41100.png,0,"12_2"
5_27403.png,5,"22_13"
4_57779.png,4,"31_17"
9_28838.png,9,"30_4"
6_52513.png,6,"5_2"
7_28138.png,7,"7_18"
7_3408.png,7,"20_0"
1_2645.png,1,"0_19"
9_44678.png,9,"29_23"
8_1790.png,8,"21_18"
6_43348.png,6,"27_29"
6_55956.png,6,"8_0"
7_42363.png,7,"0_31"
7_16304.png,7,"20_0"
4_14175.png,4,"28_9"
1_25061.png,1,"0_20"
7_48556.png,7,"24_1"
1_22916.png,1,"23_2"
8_55491.png,8,"19_27"
3_48770.png,3,"4_10"
0_36919.png,0,"13_8"
4_8553.png,4,"31_27"
0_46582.png,0,"12_5"
9_51770.png,9,"21_7"
7_41161.png,7,"8_22"
2_13257.png,2,"5_27"
7_49812.png,7,"8_19"
7_52736.png,7,"19_0"
7_1216.png,7,"7_16"
6_20153.png,6,"6_1"
0_20321.png,0,"13_10"
2_49148.png,2,"0_15"
0_49518.png,0,"6_1"
2_22124.png,2,"19_0"
7_43528.png,7,"8_19"
1_58963.png,1,"0_22"
0_34070.png,0,"10_3"
0_43445.png,0,"9_8"
7_43108.png,7,"25_0"
0_8813.png,0,"12_4"
6_35181.png,6,"25_31"
8_46927.png,8,"1_24"
3_31229.png,3,"18_18"
8_38589.png,8,"14_21"
9_22148.png,9,"29_22"
4_19112.png,4,"24_2"
6_14372.png,6,"0_5"
1_26556.png,1,"0_0"
5_41521.png,5,"1_5"
4_8890.png,4,"20_6"
8_51705.png,8,"2_21"
6_17126.png,6,"27_30"
0_57471.png,0,"1_5"
7_40510.png,7,"6_16"
7_6202.png,7,"27_0"
1_809.png,1,"0_19"
8_41893.png,8,"19_27"
3_3358.png,3,"30_14"
1_8873.png,1,"0_19"
1_30007.png,1,"1_18"
9_2137.png,9,"31_18"
9_23635.png,9,"2_23"
0_1590.png,0,"13_11"
1_6365.png,1,"1_18"
6_48430.png,6,"31_29"
9_8448.png,9,"21_8"
1_40790.png,1,"0_0"
8_6620.png,8,"22_25"
3_18119.png,3,"18_17"
1_30493.png,1,"0_16"
7_2054.png,7,"28_0"
0_52313.png,0,"10_7"
9_44028.png,9,"0_0"
1_38056.png,1,"2_0"
7_32307.png,7,"9_23"
8_39479.png,8,"20_26"
7_10533.png,7,"1_23"
5_59311.png,5,"9_31"
9_36860.png,9,"22_7"
9_17737.png,9,"6_15"
0_37656.png,0,"7_9"
5_51800.png,5,"31_16"
4_20924.png,4,"28_18"
8_8045.png,8,"14_21"
4_14411.png,4,"3_22"
6_4231.png,6,"26_31"
7_52302.png,7,"27_0"
7_26304.png,7,"9_18"
8_52863.png,8,"23_21"
2_56553.png,2,"14_2"
6_59785.png,6,"23_31"
3_20687.png,3,"18_17"
9_8968.png,9,"29_24"
6_35140.png,6,"0_1"
1_37563.png,1,"4_0"
5_29029.png,5,"11_30"
1_23118.png,1,"0_18"
7_58337.png,7,"2_25"
1_34590.png,1,"4_0"
9_4244.png,9,"22_7"
6_58370.png,6,"23_31"
2_59152.png,2,"14_2"
3_48682.png,3,"17_15"
9_47403.png,9,"3_25"
1_52359.png,1,"0_17"
1_5983.png,1,"1_14"
3_2430.png,3,"18_14"
1_21171.png,1,"0_19"
9_21267.png,9,"6_15"
2_11438.png,2,"4_0"
4_10504.png,4,"6_15"
2_49914.png,2,"15_1"
5_26066.png,5,"20_26"
0_54209.png,0,"26_30"
5_36812.png,5,"18_17"
7_51663.png,7,"7_23"
2_15495.png,2,"0_18"
7_47570.png,7,"25_3"
4_53618.png,4,"19_6"
1_36353.png,1,"1_12"
4_5124.png,4,"1_2"
5_30456.png,5,"22_8"
7_24503.png,7,"6_23"
1_16872.png,1,"0_12"
0_49150.png,0,"8_9"
8_59280.png,8,"0_26"
9_18653.png,9,"9_15"
5_38071.png,5,"2_3"
0_58575.png,0,"26_30"
1_15888.png,1,"0_0"
4_8673.png,4,"5_15"
9_55957.png,9,"24_2"
8_57348.png,8,"0_11"
5_24819.png,5,"1_8"
5_57743.png,5,"1_2"
8_4272.png,8,"18_17"
3_15850.png,3,"20_18"
4_11023.png,4,"6_15"
0_2839.png,0,"11_8"
7_13131.png,7,"10_23"
3_6576.png,3,"16_16"
9_47134.png,9,"30_22"
1_44389.png,1,"2_2"
4_3088.png,4,"25_4"
1_48908.png,1,"7_0"
3_25007.png,3,"20_14"
3_5458.png,3,"21_18"
5_26592.png,5,"0_13"
1_4924.png,1,"7_0"
7_26004.png,7,"29_0"
9_43663.png,9,"23_1"
9_48616.png,9,"9_14"
5_49428.png,5,"6_0"
3_55665.png,3,"21_18"
5_45899.png,5,"8_31"
9_56152.png,9,"0_13"
6_36798.png,6,"25_6"
1_50864.png,1,"7_2"
8_52465.png,8,"17_27"
4_48936.png,4,"18_7"
2_551.png,2,"13_2"
1_53098.png,1,"7_3"
6_22975.png,6,"31_31"
5_29058.png,5,"0_11"
7_45806.png,7,"22_10"
3_50297.png,3,"23_15"
0_51546.png,0,"25_6"
6_11363.png,6,"22_31"
6_8311.png,6,"20_31"
6_20948.png,6,"31_31"
4_49237.png,4,"6_17"
6_17284.png,6,"7_9"
2_591.png,2,"14_1"
4_14207.png,4,"29_9"
8_32073.png,8,"22_24"
6_38633.png,6,"20_31"
7_567.png,7,"6_24"
6_15806.png,6,"25_5"
7_39246.png,7,"11_18"
7_6911.png,7,"10_14"
1_10448.png,1,"4_1"
8_38434.png,8,"22_14"
4_49546.png,4,"18_7"
8_18109.png,8,"19_19"
1_32814.png,1,"6_3"
4_34572.png,4,"29_9"
8_27488.png,8,"23_14"
3_1021.png,3,"7_31"
3_57801.png,3,"13_29"
9_8847.png,9,"1_7"
3_57492.png,3,"2_12"
9_6155.png,9,"8_14"
1_39268.png,1,"3_0"
0_7409.png,0,"14_11"
5_52962.png,5,"24_20"
4_20082.png,4,"18_7"
